"","titles","prices","years","transmissions","make.1","make.2"
"3628","Toyota Mark X","2600000","2011 ","Automatic",Toyota,Mark X
"3629","Toyota Yaris","2600000","2015 ","Automatic",Toyota,Yaris
"3630","Honda Accord","3150000","2013 ","Automatic",Honda,Accord
"3631","Honda Accord","750000","2002 ","Automatic",Honda,Accord
"3632","Nissan Sunny ","650000","2004 ","Automatic",Nissan,Sunny 
"3633","Honda H-rv","2999000","2016 ","Automatic",Honda,H-rv
"3634","Toyota Wish X","2300000","2013 ","Automatic",Toyota,Wish X
"3635","Honda Stream",NA,"2007 ","Automatic",Honda,Stream
"3636","Toyota Vitz","1590000","2013 ","Automatic",Toyota,Vitz
"3637","Subaru  XV",NA,"2013 ","Automatic",Subaru, XV
"3638","Toyota Probox",NA,"2012 ","Automatic",Toyota,Probox
"3639","Toyota Vitz","1500000","2013 ","Automatic",Toyota,Vitz
"3640","Toyota Mark X",NA,"2013 ","Automatic",Toyota,Mark X
"3641","Subaru  impreza",NA,"2014 ","Automatic",Subaru, impreza
"3642","Toyota Fielder","1750000","2012 ","Automatic",Toyota,Fielder
"3643","Mitsubishi Montero","6e+05","2003 ","Automatic",Mitsubishi,Montero
"3644","Toyota voxy",NA,"2013 ","Automatic",Toyota,voxy
"3645","Honda Fit","1350000","2012 ","Automatic",Honda,Fit
"3646","Toyota Tacoma  pre-runner","1900000","2005 ","Automatic",Toyota,Tacoma  pre-runner
"3647","Subaru  impreza",NA,"2014 ","Automatic",Subaru, impreza
"3648","Honda CIVIC","840000","2005 ","Automatic",Honda,CIVIC
"3649","Toyota Voxy",NA,"2012 ","Automatic",Toyota,Voxy
"3650","Honda Accord","3e+06","2015 ","Automatic",Honda,Accord
"3651","BMW 335i","3900000","2011 ","",BMW,335i
"3652","Nissan Frontier",NA,"2009 ","Automatic",Nissan,Frontier
"3653","Toyota AXIO","1700000","2012 ","Automatic",Toyota,AXIO
"3654","Suzuki Swift","1530000","2015 ","Automatic",Suzuki,Swift
"3655","Toyota Voxy","3970000","2015 ","Automatic",Toyota,Voxy
"3656","Mazda Premacy","1690000","2013 ","Automatic",Mazda,Premacy
"3657","Toyota Probox","1055794","2013 ","Automatic",Toyota,Probox
"3658","Nissan Tiida",NA,"2008 ","Automatic",Nissan,Tiida
"3659","Toyota Blade","1350000","2009 ","Automatic",Toyota,Blade
"3660","Toyota Altis",NA,"2006 ","Automatic",Toyota,Altis
"3661","Daihatsu mira","670000","2012 ","Automatic",Daihatsu,mira
"3662","Nissan Sylphy","1950000","2013 ","Automatic",Nissan,Sylphy
"3663","Toyota TownAce",NA,"1998 ","Automatic",Toyota,TownAce
"3664","Nissan AD Wagon","970000","2012 ","Automatic",Nissan,AD Wagon
"3665","Mazda premacy","1550000","2011 ","Automatic",Mazda,premacy
"3666","Honda CR-V",NA,"2011 ","Automatic",Honda,CR-V
"3667","Subaru  G4","1700000","2012 ","Automatic",Subaru, G4
"3668","Toyota Fielder","2380000","2015 ","Automatic",Toyota,Fielder
"3669","Honda Stream","1850000","2010 ","Automatic",Honda,Stream
"3670","Toyota Fielder","930000","2004 ","Automatic",Toyota,Fielder
"3671","Subaru  Impreza G4","1950000","2013 ","Automatic",Subaru, Impreza G4
"3672","Nissan AD Wagon","850000","2012 ","Automatic",Nissan,AD Wagon
"3673","Honda CR-V",NA,"2002 ","Automatic",Honda,CR-V
"3674","Nissan AD Wagon","9e+05","2012 ","Automatic",Nissan,AD Wagon
"3675","Toyota Mark X","1890000","2010 ","Automatic",Toyota,Mark X
"3676","Toyota Noah",NA,"2001 ","Automatic",Toyota,Noah
"3677","Honda CR-V","3850000","2014 ","Automatic",Honda,CR-V
"3678","Honda CR-V","1650000","2007 ","Automatic",Honda,CR-V
"3679","Nissan Bluebird Sylphy","899000","2007 ","Automatic",Nissan,Bluebird Sylphy
"3680","Mazda Demio",NA,"2009 ","Automatic",Mazda,Demio
"3681","BMW 530i","1600000","2007 ","Automatic",BMW,530i
"3682","Honda Stream","680000","2012 ","Automatic",Honda,Stream
"3683","Nissan Frontier","1300000","2007 ","Automatic",Nissan,Frontier
"3684","Toyota Corolla Fielder S","2100000","2013 ","Tiptronic",Toyota,Corolla Fielder S
"3685","Nissan Juke",NA,"2015 ","Automatic",Nissan,Juke
"3686","Daihatsu mira","830000","2013 ","Automatic",Daihatsu,mira
"3687","Toyota Voxy ZS Kirameki II","2450000","2011 ","Tiptronic",Toyota,Voxy ZS Kirameki II
"3688","Nissan Dualis ","2e+06","2011 ","Automatic",Nissan,Dualis 
"3689","Suzuki Swift","1330000","2013 ","Automatic",Suzuki,Swift
"3690","Toyota Belta",NA,"2012 ","Automatic",Toyota,Belta
"3691","Toyota aqua","1550000","2013 ","Automatic",Toyota,aqua
"3692","Nissan Cube","1500000","2015 ","Automatic",Nissan,Cube
"3693","Nissan Teana","1850000","2012 ","Automatic",Nissan,Teana
"3694","Subaru  impreza","1400000","2011 ","Automatic",Subaru, impreza
"3695","Suzuki Swift","1900000","2016 ","Automatic",Suzuki,Swift
"3696","Toyota AXIO",NA,"2009 ","Automatic",Toyota,AXIO
"3697","Toyota Corolla Fielder S","2100000","2013 ","Automatic",Toyota,Corolla Fielder S
"3698","Mazda Familia","920000","2012 ","Automatic",Mazda,Familia
"3699","Mazda Premacy","1700000","2013 ","Automatic",Mazda,Premacy
"3700","Nissan Tiida","830000","2008 ","Automatic",Nissan,Tiida
"3701","International DT466 Truck","2600000","2002 ","Manual",International,DT466 Truck
"3702","Toyota Lexus IS300",NA,"2010 ","Automatic",Toyota,Lexus IS300
"3703","Honda Fit","850000","2008 ","Automatic",Honda,Fit
"3704","Audi A4","590000","2000 ","Automatic",Audi,A4
"3705","Nissan Teana",NA,"2013 ","Automatic",Nissan,Teana
"3706","Subaru  exiga","915000","2008 ","Tiptronic",Subaru, exiga
"3707","Toyota Crown MAJESTA",NA,"2012 ","Automatic",Toyota,Crown MAJESTA
"3708","Nissan Sunny ","630000","2006 ","Automatic",Nissan,Sunny 
"3709","Honda Civic EK3","6e+05","1997 ","Automatic",Honda,Civic EK3
"3710","Nissan Vanette","1390000","2012 ","Automatic",Nissan,Vanette
"3711","Subaru  Impreza WRX","2100000","2010 ","Automatic",Subaru, Impreza WRX
"3712","Honda CIVIC",NA,"2001 ","Automatic",Honda,CIVIC
"3713","Honda Insight","9e+05","2009 ","Automatic",Honda,Insight
"3714","Honda Fit",NA,"2015 ","Automatic",Honda,Fit
"3715","Toyota  Corolla XLI","1220000","2009 ","Automatic",Toyota, Corolla XLI
"3716","Honda Accord Sport","2800000","2015 ","Manual",Honda,Accord Sport
"3717","Toyota Mark X","3e+06","2014 ","Tiptronic",Toyota,Mark X
"3718","Nissan Note","1200000","2012 ","Automatic",Nissan,Note
"3719","Toyota AXIO",NA,"2015 ","Automatic",Toyota,AXIO
"3720","Toyota AXIO","1690000","2012 ","Automatic",Toyota,AXIO
"3721","Infiniti FX35",NA,"2008 ","Automatic",Infiniti,FX35
"3722","Toyota Caldina","8e+05","2004 ","Automatic",Toyota,Caldina
"3723","Nissan Note","1350000","2013 ","Automatic",Nissan,Note
"3724","Honda Fit",NA,"2015 ","Automatic",Honda,Fit
"3725","Honda Fit",NA,"2013 ","Automatic",Honda,Fit
"3726","BMW X3","1900000","2008 ","Automatic",BMW,X3
"3727","Mazda Axela","1290000","2011 ","Tiptronic",Mazda,Axela
"3728","Nissan Note",NA,"2012 ","Automatic",Nissan,Note
"3729","Honda CIVIC","265","2015 ","Automatic",Honda,CIVIC
"3730","Suzuki Swift",NA,"2016 ","Automatic",Suzuki,Swift
"3731","BMW 330i",NA,"2008 ","Automatic",BMW,330i
"3732","Toyota Hiace freezer","2900000","2011 ","Automatic",Toyota,Hiace freezer
"3733","Nissan Note","895000","2011 ","Automatic",Nissan,Note
"3734","Toyota Camry","120000","1993 ","Automatic",Toyota,Camry
"3735","Suzuki Grand Vitara","950000","2003 ","Manual",Suzuki,Grand Vitara
"3736","BMW 645ci",NA,"2005 ","Automatic",BMW,645ci
"3737","Honda Civic EX","2780000","2016 ","Automatic",Honda,Civic EX
"3738","Honda Fit",NA,"2012 ","Automatic",Honda,Fit
"3739","Nissan Tiida","1200000","2012 ","Automatic",Nissan,Tiida
"3740","Suzuki Swift",NA,"2013 ","Automatic",Suzuki,Swift
"3741","Honda Accord",NA,"2008 ","Automatic",Honda,Accord
"3742","Subaru  G4","1850000","2013 ","Automatic",Subaru, G4
"3743","Honda Fit Aria","750000","2007 ","Automatic",Honda,Fit Aria
"3744","Toyota Crown ATHLETE",NA,"2015 ","Automatic",Toyota,Crown ATHLETE
"3745","Suzuki Swift Sport",NA,"2013 ","Manual",Suzuki,Swift Sport
"3746","BMW 535i","5e+06","2012 ","Automatic",BMW,535i
"3747","Nissan Tiida","990000","2011 ","Automatic",Nissan,Tiida
"3748","Chery QQ","410000","2007 ","Manual",Chery,QQ
"3749","Toyota Altezza","890000","2002 ","Tiptronic",Toyota,Altezza
"3750","Nissan Navara","1900000","2007 ","Manual",Nissan,Navara
"3751","Toyota MARK 2","270000","1995 ","Automatic",Toyota,MARK 2
"3752","Honda CIVIC",NA,"2015 ","Automatic",Honda,CIVIC
"3753","Toyota Pick up","630000","1992 ","Manual",Toyota,Pick up
"3754","Toyota Allion","2100000","2012 ","Automatic",Toyota,Allion
"3755","Suzuki Swift",NA,"2013 ","Automatic",Suzuki,Swift
"3756","BMW 525i","1290000","2006 ","Tiptronic",BMW,525i
"3757","Mitsubishi ASX","3600000","2016 ","Tiptronic",Mitsubishi,ASX
"3758","Nissan Serena","1800000","2011 ","Automatic",Nissan,Serena
"3759","Toyota Sienta",NA,"2014 ","Automatic",Toyota,Sienta
"3760","Nissan Elgrand",NA,"2013 ","Automatic",Nissan,Elgrand
"3761","Honda CIVIC","3600000","2017 ","Automatic",Honda,CIVIC
"3762","BMW 530i","1280000","2005 ","Automatic",BMW,530i
"3763","Toyota Mark X","1900000","2008 ","Automatic",Toyota,Mark X
"3764","Toyota Starlet","380000","1993 ","Automatic",Toyota,Starlet
"3765","Nissan Sentra",NA,"2011 ","Automatic",Nissan,Sentra
"3766","Honda Fit","1350000","2013 ","Automatic",Honda,Fit
"3767","Nissan Wingroad","1250000","2012 ","Automatic",Nissan,Wingroad
"3768","Mitsubishi Lancer","470000","2004 ","Automatic",Mitsubishi,Lancer
"3769","Toyota AXIO","1395000","2011 ","Automatic",Toyota,AXIO
"3770","Toyota  Mark X 250G","3350000","2014 ","Automatic",Toyota, Mark X 250G
"3771","Toyota Camry",NA,"2004 ","Automatic",Toyota,Camry
"3772","Suzuki Swift",NA,"2015 ","Automatic",Suzuki,Swift
"3773","Honda Civic VTI",NA,"2003 ","Automatic",Honda,Civic VTI
"3774","Honda CR-V","2200000","2011 ","Automatic",Honda,CR-V
"3775","Toyota Mark XG","1695000","2010 ","Automatic",Toyota,Mark XG
"3776","Honda Odyssey","1800000","2007 ","Automatic",Honda,Odyssey
"3777","Honda CIVIC","1850000","2012 ","Automatic",Honda,CIVIC
"3778","Toyota AXIO",NA,"2014 ","Automatic",Toyota,AXIO
"3779","Honda Fit","580000","2006 ","Automatic",Honda,Fit
"3780","Subaru  Impreza (G4)","2300000","2012 ","Automatic",Subaru, Impreza (G4)
"3781","Toyota Hiace",NA,"2012 ","Automatic",Toyota,Hiace
"3782","Suzuki Jimny","1e+06","2008 ","Manual",Suzuki,Jimny
"3783","Toyota Belta","860000","2009 ","Automatic",Toyota,Belta
"3784","Mazda ATENZA","1250000","2005 ","Tiptronic",Mazda,ATENZA
"3785","Mazda Demio",NA,"2009 ","Automatic",Mazda,Demio
"3786","Subaru  impreza","7e+05","2007 ","Automatic",Subaru, impreza
"3787","Toyota AXIO",NA,"2015 ","Automatic",Toyota,AXIO
"3788","Toyota  Premio","1580000","2009 ","Automatic",Toyota, Premio
"3789","Toyota AXIO",NA,"2011 ","Automatic",Toyota,AXIO
"3790","Nissan AD Wagon VE","1150000","2013 ","Automatic",Nissan,AD Wagon VE
"3791","Honda Fit","1950000","2014 ","Automatic",Honda,Fit
"3792","Toyota Fielder","1600000","2012 ","Automatic",Toyota,Fielder
"3793","Mitsubishi ASX","2950000","2015 ","Tiptronic",Mitsubishi,ASX
"3794","Suzuki Swift","1650000","2015 ","Automatic",Suzuki,Swift
"3795","Honda CIVIC","3e+06","2016 ","Automatic",Honda,CIVIC
"3796","Isuzu ELF","1930000","2006 ","Manual",Isuzu,ELF
"3797","Toyota Caldina 3S GT GTE TURBO Four ","1200000","2007 ","Tiptronic",Toyota,Caldina 3S GT GTE TURBO Four 
"3798","Toyota Crown majesta","3800000","2013 ","Automatic",Toyota,Crown majesta
"3799","Lexus GS300",NA,"1995 ","Automatic",Lexus,GS300
"3800","Volkswagen Tiguan","2700000","2013 ","Tiptronic",Volkswagen,Tiguan
"3801","Mitsubishi Galant Fortis","1500000","2011 ","Automatic",Mitsubishi,Galant Fortis
"3802","Nissan Lafesta","1600000","2012 ","Automatic",Nissan,Lafesta
"3803","Nissan Note",NA,"2012 ","Automatic",Nissan,Note
"3804","Toyota Crown Royal Saloon ","2999000","2012 ","Automatic",Toyota,Crown Royal Saloon 
"3805","Nissan AD Wagon",NA,"2013 ","Automatic",Nissan,AD Wagon
"3806","Suzuki Swift","1150000","2012 ","Automatic",Suzuki,Swift
"3807","Toyota LandCruiser Prado ","7500000","2014 ","Tiptronic",Toyota,LandCruiser Prado 
"3808","Subaru  impreza","2e+06","2013 ","Tiptronic",Subaru, impreza
"3809","Toyota Tacoma","6500000","2016 ","Automatic",Toyota,Tacoma
"3810","Toyota Hilux","390000","1991 ","Automatic",Toyota,Hilux
"3811","Honda Accard","7e+05","2000 ","Manual",Honda,Accard
"3812","Nissan Note","1400000","2012 ","Automatic",Nissan,Note
"3813","Suzuki Swift","1680000","2014 ","Automatic",Suzuki,Swift
"3814","Nissan Tiida Latio","1300000","2012 ","Automatic",Nissan,Tiida Latio
"3815","Nissan AD Wagon",NA,"2014 ","Automatic",Nissan,AD Wagon
"3816","BMW X6","7e+06","2010 ","Automatic",BMW,X6
"3817","Nissan AD Wagon","630000","2008 ","Automatic",Nissan,AD Wagon
"3818","Mitsubishi Galant","350000","1994 ","Manual",Mitsubishi,Galant
"3819","Toyota Corolla S","1900000","2012 ","Automatic",Toyota,Corolla S
"3820","Toyota Probox (Extra Package)",NA,"2012 ","Automatic",Toyota,Probox (Extra Package)
"3821","Nissan Skyline","2450000","2013 ","",Nissan,Skyline
"3822","Suzuki Swift","1530000","2014 ","Automatic",Suzuki,Swift
"3823","Nissan Cube",NA,"2012 ","Automatic",Nissan,Cube
"3824","Toyota Mark X","2400000","2012 ","Automatic",Toyota,Mark X
"3825","Honda AIRWAVE",NA," ","Automatic",Honda,AIRWAVE
"3826","Toyota MARK X (PREMIUM 250G)","2600000","2013 ","Automatic",Toyota,MARK X (PREMIUM 250G)
"3827","Toyota AXIO","1490000","2011 ","Automatic",Toyota,AXIO
"3828","Nissan AD Wagon",NA,"2001 ","Automatic",Nissan,AD Wagon
"3829","Honda Stream RSZ","2200000","2012 ","Tiptronic",Honda,Stream RSZ
"3830","Honda crv","3490000","2012 ","Automatic",Honda,crv
"3831","Honda Fit","1420000","2012 ","Automatic",Honda,Fit
"3832","Honda Civic Type R","1500000","2009 ","Manual",Honda,Civic Type R
"3833","Honda CIVIC",NA,"2012 ","Automatic",Honda,CIVIC
"3834","Mazda Premacy","2e+06","2013 ","Automatic",Mazda,Premacy
"3835","Toyota Isis Platana","2249000","2013 ","Automatic",Toyota,Isis Platana
"3836","Honda CR-V","3790000","2013 ","Automatic",Honda,CR-V
"3837","Suzuki Swift","1420000","2014 ","Automatic",Suzuki,Swift
"3838","Toyota Altis","930000","2004 ","Automatic",Toyota,Altis
"3839","Honda CR-V","950000","2006 ","Automatic",Honda,CR-V
"3840","Nissan Wingroad","1500000","2013 ","Tiptronic",Nissan,Wingroad
"3841","Lexus RX300","870000","2000 ","Tiptronic",Lexus,RX300
"3842","Nissan march","6e+05","2008 ","Automatic",Nissan,march
"3843","Toyota Probox",NA,"2014 ","Automatic",Toyota,Probox
"3844","Toyota AXIO","1290000","2010 ","Automatic",Toyota,AXIO
"3845","Honda CIVIC","560000","1999 ","Automatic",Honda,CIVIC
"3846","Honda Inspire",NA,"2011 ","Automatic",Honda,Inspire
"3847","Nissan Note","1520000","2014 ","Automatic",Nissan,Note
"3848","Mazda Premacy",NA,"2014 ","Automatic",Mazda,Premacy
"3849","Honda CIVIC","3e+06","2016 ","Automatic",Honda,CIVIC
"3850","BMW X1",NA,"2012 ","Automatic",BMW,X1
"3851","Nissan Caravan","2150000","2013 ","Automatic",Nissan,Caravan
"3852","Honda CIVIC","1330000","2007 ","Automatic",Honda,CIVIC
"3853","Nissan Tiida","8e+05","2008 ","Automatic",Nissan,Tiida
"3854","Honda Torneo","680000","2001 ","Automatic",Honda,Torneo
"3855","Honda Fit","1990000","2015 ","Automatic",Honda,Fit
"3856","Toyota Corolla S","1550000","2009 ","Automatic",Toyota,Corolla S
"3857","Mazda Demio","980000","2011 ","Automatic",Mazda,Demio
"3858","Nissan Armada","1200000","2005 ","Automatic",Nissan,Armada
"3859","Suzuki Grand Vitara","2600000","2014 ","Manual",Suzuki,Grand Vitara
"3860","Toyota Avensis","2475000","2012 ","Automatic",Toyota,Avensis
"3861","Toyota Fielder",NA,"2014 ","Automatic",Toyota,Fielder
"3862","Mazda Verisa","770000","2008 ","Automatic",Mazda,Verisa
"3863","Honda CIVIC",NA,"2001 ","Automatic",Honda,CIVIC
"3864","Mitsubishi l200 4x4 turbo","530000","1998 ","Manual",Mitsubishi,l200 4x4 turbo
"3865","Mitsubishi Lancer","920000","2008 ","Automatic",Mitsubishi,Lancer
"3866","Nissan Teana","1800000","2011 ","Automatic",Nissan,Teana
"3867","Nissan Lafesta","1050000","2011 ","Automatic",Nissan,Lafesta
"3868","Toyota Probox","1250000","2013 ","Automatic",Toyota,Probox
"3869","Toyota Corolla E110","4e+05","1997 ","Automatic",Toyota,Corolla E110
"3870","Honda Accord","750000","1999 ","Automatic",Honda,Accord
"3871","Acura TL","4400000","2013 ","Automatic",Acura,TL
"3872","Nissan Tiida","9e+05","2009 ","Automatic",Nissan,Tiida
"3873","Kawasaki bike",NA,"2007 ","Automatic",Kawasaki,bike
"3874","BMW 320i",NA,"2010 ","Tiptronic",BMW,320i
"3875","Toyota Mark X",NA,"2013 ","Automatic",Toyota,Mark X
"3876","Nissan Tiida","1200000","2012 ","Automatic",Nissan,Tiida
"3877","Honda Stepwagon","2250000","2012 ","Automatic",Honda,Stepwagon
"3878","Toyota Probox",NA,"2012 ","Automatic",Toyota,Probox
"3879","Toyota Voxy","2360000","2012 ","Automatic",Toyota,Voxy
"3880","Mitsubishi Canter","3250000","2006 ","Manual",Mitsubishi,Canter
"3881","Honda CR-V","880000","2002 ","Automatic",Honda,CR-V
"3882","Toyota Voxy ZS","2750000","2012 ","Automatic",Toyota,Voxy ZS
"3883","Toyota AXIO","1590000","2012 ","Automatic",Toyota,AXIO
"3884","Subaru  Legacy","2950000","2013 ","Automatic",Subaru, Legacy
"3885","Toyota Camry Hybrid","2650000","2013 ","Automatic",Toyota,Camry Hybrid
"3886","Toyota Axio (2wd)","1950000","2014 ","Automatic",Toyota,Axio (2wd)
"3887","Nissan Urvan","570000","2001 ","Manual",Nissan,Urvan
"3888","Isuzu Forward Smoother E","3200000","2004 ","Manual",Isuzu,Forward Smoother E
"3889","Nissan Presage","1700000","2009 ","Automatic",Nissan,Presage
"3890","Toyota Vitz",NA,"2011 ","Automatic",Toyota,Vitz
"3891","Subaru  Impreza G4","1680000","2012 ","Automatic",Subaru, Impreza G4
"3892","Toyota Tacoma","680000","1997 ","Automatic",Toyota,Tacoma
"3893","Honda Fit Shuttle",NA,"2014 ","Automatic",Honda,Fit Shuttle
"3894","Nissan Dualis ","2600000","2013 ","Automatic",Nissan,Dualis 
"3895","Nissan Sylphy","2100000","2013 ","Automatic",Nissan,Sylphy
"3896","Toyota Voxy","2190000","2012 ","Automatic",Toyota,Voxy
"3897","Mazda Premacy",NA,"2013 ","Automatic",Mazda,Premacy
"3898","Toyota Voxy","2200000","2012 ","Automatic",Toyota,Voxy
"3899","BMW 325i","1350000","2007 ","Automatic",BMW,325i
"3900","Volkswagen Tiguan","3900000","2014 ","Tiptronic",Volkswagen,Tiguan
"3901","Mazda Premacy","1600000","2011 ","Automatic",Mazda,Premacy
"3902","Hyundai Matrix","320000","2003 ","Automatic",Hyundai,Matrix
"3903","Nissan Bluebird","850000","2007 ","Automatic",Nissan,Bluebird
"3904","Lexus IS250","4100000","2013 ","Tiptronic",Lexus,IS250
"3905","Toyota tundra","4900000","2012 ","Automatic",Toyota,tundra
"3906","Honda Fit","1350000","2012 ","Automatic",Honda,Fit
"3907","Nissan X Trail","3700000","2014 ","Automatic",Nissan,X Trail
"3908","Toyota Mark X","2850000","2013 ","Automatic",Toyota,Mark X
"3909","Suzuki Swift","1300000","2012 ","Automatic",Suzuki,Swift
"3910","Honda Fit","1980000","2015 ","Automatic",Honda,Fit
"3911","Toyota Isis",NA,"2012 ","Automatic",Toyota,Isis
"3912","Suzuki Swift",NA,"2013 ","Automatic",Suzuki,Swift
"3913","Toyota Caldina","250000","1996 ","Automatic",Toyota,Caldina
"3914","Toyota Voxy ZS",NA,"2012 ","Automatic",Toyota,Voxy ZS
"3915","Suzuki Swift","1520000","2015 ","Automatic",Suzuki,Swift
"3916","Mazda 6 ",NA,"2012 ","Automatic",Mazda,6 
"3917","Lexus IS250","1600000","2007 ","Automatic",Lexus,IS250
"3918","Nissan AD Wagon","880000","2011 ","Automatic",Nissan,AD Wagon
"3919","Suzuki Swift","795000","2007 ","Automatic",Suzuki,Swift
"3920","Ford Ranger","1690000","2011 ","Automatic",Ford,Ranger
"3921","Toyota Vitz","1590000","2013 ","Automatic",Toyota,Vitz
"3922","Mazda Premacy","1450000","2010 ","Automatic",Mazda,Premacy
"3923","Toyota AXIO","1790000","2013 ","Automatic",Toyota,AXIO
"3924","BMW 720i","3e+06","2011 ","Automatic",BMW,720i
"3925","BMW 428i",NA,"2015 ","Tiptronic",BMW,428i
"3926","Toyota Axio (2wd)","1280000","2009 ","Automatic",Toyota,Axio (2wd)
"3927","Nissan AD Wagon","850000","2012 ","Automatic",Nissan,AD Wagon
"3928","Toyota Corolla","1550000","2012 ","Automatic",Toyota,Corolla
"3929","Honda CR-V",NA,"2003 ","Automatic",Honda,CR-V
"3930","Toyota RUNX","1e+06","2002 ","Automatic",Toyota,RUNX
"3931","Toyota Probox","1200000","2012 ","Automatic",Toyota,Probox
"3932","Suzuki Grand Vitara",NA,"2008 ","Automatic",Suzuki,Grand Vitara
"3933","BMW X5","2700000","2008 ","Automatic",BMW,X5
"3934","Toyota Allion","2300000","2013 ","Automatic",Toyota,Allion
"3935","Honda CIVIC","1190000","2007 ","Automatic",Honda,CIVIC
"3936","Nissan Navara","3950000","2014 ","Automatic",Nissan,Navara
"3937","Nissan Caravan","1980000","2011 ","Automatic",Nissan,Caravan
"3938","Ford Focus","1450000","2012 ","Automatic",Ford,Focus
"3939","Nissan Tiida","935000","2011 ","Automatic",Nissan,Tiida
"3940","Mazda Premacy","1900000","2015 ","Automatic",Mazda,Premacy
"3941","Toyota Voxy",NA,"2012 ","Automatic",Toyota,Voxy
"3942","Subaru  impreza","1490000","2013 ","Automatic",Subaru, impreza
"3943","Toyota Vitz","845000","2010 ","Automatic",Toyota,Vitz
"3944","Nissan Tiida",NA,"2011 ","Automatic",Nissan,Tiida
"3945","Honda CIVIC",NA,"1998 ","Automatic",Honda,CIVIC
"3946","Honda Fit 2012","1250000","2012 ","Automatic",Honda,Fit 2012
